input num : 0.0, bin_trans num : 0
input num : -0.003074, bin_trans num : 0
input num : -0.0061479, bin_trans num : 0
input num : -0.0092218, bin_trans num : -0.0078125
input num : -0.012296, bin_trans num : -0.0078125
input num : -0.015369, bin_trans num : -0.0078125
input num : -0.018443, bin_trans num : -0.015625
input num : -0.021516, bin_trans num : -0.015625
input num : -0.024589, bin_trans num : -0.0234375
input num : -0.027662, bin_trans num : -0.0234375
input num : -0.030735, bin_trans num : -0.0234375
input num : -0.033807, bin_trans num : -0.03125
input num : -0.036879, bin_trans num : -0.03125
input num : -0.039951, bin_trans num : -0.0390625
input num : -0.043022, bin_trans num : -0.0390625
input num : -0.046093, bin_trans num : -0.0390625
input num : -0.049164, bin_trans num : -0.046875
input num : -0.052234, bin_trans num : -0.046875
input num : -0.055303, bin_trans num : -0.0546875
input num : -0.058372, bin_trans num : -0.0546875
input num : -0.061441, bin_trans num : -0.0546875
input num : -0.064508, bin_trans num : -0.0625
input num : -0.067576, bin_trans num : -0.0625
input num : -0.070642, bin_trans num : -0.0703125
input num : -0.073708, bin_trans num : -0.0703125
input num : -0.076774, bin_trans num : -0.0703125
input num : -0.079838, bin_trans num : -0.078125
input num : -0.082902, bin_trans num : -0.078125
input num : -0.085965, bin_trans num : -0.0859375
input num : -0.089027, bin_trans num : -0.0859375
input num : -0.092088, bin_trans num : -0.0859375
input num : -0.095149, bin_trans num : -0.09375
input num : -0.098208, bin_trans num : -0.09375
input num : -0.10127, bin_trans num : -0.09375
input num : -0.10432, bin_trans num : -0.1015625
input num : -0.10738, bin_trans num : -0.1015625
input num : -0.11044, bin_trans num : -0.109375
input num : -0.11349, bin_trans num : -0.109375
input num : -0.11655, bin_trans num : -0.109375
input num : -0.1196, bin_trans num : -0.1171875
input num : -0.12265, bin_trans num : -0.1171875
input num : -0.1257, bin_trans num : -0.125
input num : -0.12875, bin_trans num : -0.125
input num : -0.1318, bin_trans num : -0.125
input num : -0.13484, bin_trans num : -0.1328125
input num : -0.13789, bin_trans num : -0.1328125
input num : -0.14093, bin_trans num : -0.140625
input num : -0.14397, bin_trans num : -0.140625
input num : -0.14702, bin_trans num : -0.140625
input num : -0.15006, bin_trans num : -0.1484375
input num : -0.15309, bin_trans num : -0.1484375
input num : -0.15613, bin_trans num : -0.1484375
input num : -0.15917, bin_trans num : -0.15625
input num : -0.1622, bin_trans num : -0.15625
input num : -0.16523, bin_trans num : -0.1640625
input num : -0.16826, bin_trans num : -0.1640625
input num : -0.17129, bin_trans num : -0.1640625
input num : -0.17432, bin_trans num : -0.171875
input num : -0.17735, bin_trans num : -0.171875
input num : -0.18037, bin_trans num : -0.1796875
input num : -0.18339, bin_trans num : -0.1796875
input num : -0.18641, bin_trans num : -0.1796875
input num : -0.18943, bin_trans num : -0.1875
input num : -0.19245, bin_trans num : -0.1875
